ppo_return,benchmark_return
-0.008763177,0.0075193644
-0.0015342908,-0.0070396066
0.0029331043,-0.0010455847
0.0100495415,0.0008337498
0.0019467358,0.008883953
-0.005099059,0.0119121075
0.008142404,-0.002473712
0.015473993,0.009408712
0.002672866,0.00996685
0.005184524,0.006287217
0.0029596859,0.009075284
0.010512246,-0.00023639202
-0.0038245458,0.007735491
-0.0017657862,-0.009417474
0.008945932,-0.0037291646
0.0040285974,0.004917145
-0.0024201095,0.0043263435
0.0019433176,-0.0062513947
-0.005022622,0.0019863844
0.004895821,-0.009814739
0.0063673477,0.005258441
0.0005215088,0.005190611
-0.0013016234,-0.0031988025
0.003828506,-0.0004312396
0.006798753,0.004046917
-0.009162523,0.011411667
0.0034171513,-0.0070290565
0.00017339454,0.004654169
-0.0061678886,-0.0014334321
-0.0047653085,-0.004562497
-0.006461357,-0.0038470626
-0.0064694965,-0.007428944
0.008403919,-0.012290716
